07/20/2011 15:21:48 - night_darkness[0]: @effect 334
07/20/2011 15:22:05 - night_darkness[0]: @effect 334
07/20/2011 15:22:14 - night_darkness[0]: @effect 334
07/20/2011 15:22:25 - night_darkness[0]: @effect 334
07/20/2011 15:22:48 - night_darkness[0]: @effect 334
07/20/2011 15:22:56 - night_darkness[0]: @effect 334
07/20/2011 15:23:20 - night_darkness[0]: @effect 334
07/20/2011 15:23:33 - night_darkness[0]: @effect 334
07/20/2011 15:23:48 - night_darkness[0]: @effect 334
07/20/2011 15:24:05 - night_darkness[0]: @effect 334
07/20/2011 15:24:14 - night_darkness[0]: @effect 334
07/20/2011 15:24:25 - night_darkness[0]: @effect 334
07/20/2011 15:24:48 - night_darkness[0]: @effect 334
07/20/2011 15:24:56 - night_darkness[0]: @effect 334
07/20/2011 15:25:20 - night_darkness[0]: @effect 334
07/20/2011 15:25:33 - night_darkness[0]: @effect 334
07/20/2011 15:25:48 - night_darkness[0]: @effect 334
07/20/2011 15:26:05 - night_darkness[0]: @effect 334
07/20/2011 15:26:14 - night_darkness[0]: @effect 334
07/20/2011 15:26:25 - night_darkness[0]: @effect 334
07/20/2011 15:26:48 - night_darkness[0]: @effect 334
07/20/2011 15:26:56 - night_darkness[0]: @effect 334
07/20/2011 17:21:08 - Maximus[2000000]: @effect 334
07/20/2011 17:23:08 - night_darkness[0]: @effect 334
07/20/2011 17:25:08 - night_darkness[0]: @effect 334
07/20/2011 17:27:08 - night_darkness[0]: @effect 334
07/20/2011 17:29:08 - night_darkness[0]: @effect 334
07/20/2011 17:31:08 - night_darkness[0]: @effect 334
07/20/2011 17:31:42 - Epsensius[2000004]: @speed 0
07/20/2011 17:32:25 - night_darkness[0]: @effect 334
07/20/2011 17:32:58 - Maximus[2000000]: @effect 334
07/20/2011 17:33:25 - night_darkness[0]: @effect 334
07/20/2011 17:33:58 - night_darkness[0]: @effect 334
07/20/2011 17:34:25 - night_darkness[0]: @effect 334
07/20/2011 17:34:40 - night_darkness[0]: @effect 334
07/20/2011 17:35:08 - night_darkness[0]: @effect 334
07/20/2011 17:35:28 - night_darkness[0]: @effect 334
07/20/2011 17:35:58 - night_darkness[0]: @effect 334
07/20/2011 17:36:25 - night_darkness[0]: @effect 334
07/20/2011 17:36:40 - night_darkness[0]: @effect 334
07/20/2011 17:37:08 - night_darkness[0]: @effect 334
07/20/2011 17:37:28 - night_darkness[0]: @effect 334
07/20/2011 17:37:58 - night_darkness[0]: @effect 334
07/20/2011 17:38:25 - night_darkness[0]: @effect 334
07/20/2011 17:38:36 - Epsensius[2000004]: @effect 334
07/20/2011 17:38:40 - night_darkness[0]: @effect 334
07/20/2011 17:38:58 - night_darkness[0]: @effect 334
07/20/2011 17:39:25 - night_darkness[0]: @effect 334
07/20/2011 17:39:36 - night_darkness[0]: @effect 334
07/20/2011 17:39:40 - night_darkness[0]: @effect 334
07/20/2011 17:39:58 - night_darkness[0]: @effect 334
07/20/2011 17:40:25 - night_darkness[0]: @effect 334
07/20/2011 17:40:36 - night_darkness[0]: @effect 334
07/20/2011 17:40:41 - night_darkness[0]: @effect 334
07/20/2011 17:40:42 - night_darkness[0]: @effect 334
07/20/2011 17:40:44 - Maximus[2000000]: @cleanmap
07/20/2011 17:40:58 - night_darkness[0]: @effect 334
07/20/2011 17:41:02 - Jonn[2000003]: @heal
07/20/2011 17:41:25 - night_darkness[0]: @effect 334
07/20/2011 17:41:36 - night_darkness[0]: @effect 334
07/20/2011 17:41:41 - night_darkness[0]: @effect 334
07/20/2011 17:41:55 - night_darkness[0]: @effect 334
07/20/2011 17:42:09 - night_darkness[0]: @effect 334
07/20/2011 17:42:26 - Jonn[2000003]: @nuke eps
07/20/2011 17:42:28 - night_darkness[0]: @effect 334
07/20/2011 17:42:29 - Jonn[2000003]: @nuke jonn
07/20/2011 17:42:34 - Maximus[2000000]: @hide
07/20/2011 17:42:37 - Maximus[2000000]: @hide
07/20/2011 17:42:39 - Maximus[2000000]: @raise
07/20/2011 17:42:41 - night_darkness[0]: @effect 334
07/20/2011 17:42:41 - Maximus[2000000]: @heal
07/20/2011 17:42:42 - night_darkness[0]: @effect 334
07/20/2011 17:42:58 - night_darkness[0]: @effect 334
07/20/2011 17:43:13 - Maximus[2000000]: @battleignore
07/20/2011 17:43:15 - Maximus[2000000]: @speed 0
07/20/2011 17:43:18 - Epsensius[2000004]: @battleignore
07/20/2011 17:43:23 - Epsensius[2000004]: @speed 0
07/20/2011 17:43:25 - night_darkness[0]: @effect 334
07/20/2011 17:43:36 - night_darkness[0]: @effect 334
07/20/2011 17:43:41 - night_darkness[0]: @effect 334
07/20/2011 17:43:55 - night_darkness[0]: @effect 334
07/20/2011 17:44:09 - night_darkness[0]: @effect 334
07/20/2011 17:44:28 - night_darkness[0]: @effect 334
07/20/2011 17:44:36 - night_darkness[0]: @effect 334
07/20/2011 17:44:41 - night_darkness[0]: @effect 334
07/20/2011 17:44:55 - night_darkness[0]: @effect 334
07/20/2011 17:45:09 - night_darkness[0]: @effect 334
07/20/2011 17:45:28 - night_darkness[0]: @effect 334
07/20/2011 17:45:41 - night_darkness[0]: @effect 334
07/20/2011 17:45:42 - night_darkness[0]: @effect 334
07/20/2011 17:45:51 - Maximus[2000000]: @warp lavive_01
07/20/2011 17:45:58 - night_darkness[0]: @effect 334
07/20/2011 17:46:25 - night_darkness[0]: @effect 334
07/20/2011 17:46:36 - night_darkness[0]: @effect 334
07/20/2011 17:46:41 - night_darkness[0]: @effect 334
07/20/2011 17:46:55 - night_darkness[0]: @effect 334
07/20/2011 17:47:09 - night_darkness[0]: @effect 334
07/20/2011 17:47:28 - night_darkness[0]: @effect 334
07/20/2011 17:47:41 - night_darkness[0]: @effect 334
07/20/2011 17:47:43 - night_darkness[0]: @effect 334
07/20/2011 17:47:58 - night_darkness[0]: @effect 334
07/20/2011 17:48:22 - Maximus[2000000]: @effect 334
07/20/2011 17:48:28 - night_darkness[0]: @effect 334
07/20/2011 17:48:36 - night_darkness[0]: @effect 334
07/20/2011 17:48:41 - night_darkness[0]: @effect 334
07/20/2011 17:48:55 - night_darkness[0]: @effect 334
07/20/2011 17:49:09 - night_darkness[0]: @effect 334
07/20/2011 17:49:10 - Epsensius[2000004]: @warp la_curch
07/20/2011 17:49:19 - Epsensius[2000004]: @warp la_church
07/20/2011 17:49:26 - night_darkness[0]: @effect 334
07/20/2011 17:49:29 - Epsensius[2000004]: @jump
07/20/2011 17:49:41 - night_darkness[0]: @effect 334
07/20/2011 17:49:43 - night_darkness[0]: @effect 334
07/20/2011 17:49:51 - Epsensius[2000004]: @warp lavive_02 67 82
07/20/2011 17:49:54 - Maximus[2000000]: @kami OMG
07/20/2011 17:49:58 - Maximus[2000000]: @kami DUCKY
07/20/2011 17:49:58 - night_darkness[0]: @effect 334
07/20/2011 17:50:01 - Epsensius[2000004]: @jump
07/20/2011 17:50:22 - night_darkness[0]: @effect 334
07/20/2011 17:50:28 - night_darkness[0]: @effect 334
07/20/2011 17:50:29 - Epsensius[2000004]: @jump
07/20/2011 17:50:36 - night_darkness[0]: @effect 334
07/20/2011 17:50:41 - night_darkness[0]: @effect 334
07/20/2011 17:50:43 - Epsensius[2000004]: @warp lavive_02 67 70
07/20/2011 17:50:55 - night_darkness[0]: @effect 334
07/20/2011 17:50:58 - night_darkness[0]: @effect 334
07/20/2011 17:51:10 - Maximus[2000000]: @kami DUCKY
07/20/2011 17:51:14 - Epsensius[2000004]: @warp lavive_02 67 60
07/20/2011 17:51:22 - night_darkness[0]: @effect 334
07/20/2011 17:51:25 - Maximus[2000000]: @kami Made you GM.
07/20/2011 17:51:28 - night_darkness[0]: @effect 334
07/20/2011 17:51:41 - night_darkness[0]: @effect 334
07/20/2011 17:51:43 - night_darkness[0]: @effect 334
07/20/2011 17:51:56 - night_darkness[0]: @effect 334
07/20/2011 17:52:07 - Maximus[2000000]: @speed 0
07/20/2011 17:52:09 - night_darkness[0]: @effect 334
07/20/2011 17:52:10 - Maximus[2000000]: @battleignore
07/20/2011 17:52:26 - night_darkness[0]: @effect 334
07/20/2011 17:52:36 - night_darkness[0]: @effect 334
07/20/2011 17:52:41 - night_darkness[0]: @effect 334
07/20/2011 17:52:55 - night_darkness[0]: @effect 334
07/20/2011 17:52:58 - night_darkness[0]: @effect 334
07/20/2011 17:52:59 - Epsensius[2000004]: @broadcast Hmm this building dont really have a door,
07/20/2011 17:53:14 - Maximus[2000000]: @kami Sig: Which?
07/20/2011 17:53:22 - night_darkness[0]: @effect 334
07/20/2011 17:53:28 - night_darkness[0]: @effect 334
07/20/2011 17:53:31 - Epsensius[2000004]: @broadcast the one that leads into la_office
07/20/2011 17:53:41 - night_darkness[0]: @effect 334
07/20/2011 17:53:43 - night_darkness[0]: @effect 334
07/20/2011 17:53:43 - Epsensius[2000004]: @broadcast 01
07/20/2011 17:53:56 - night_darkness[0]: @effect 334
07/20/2011 17:54:09 - night_darkness[0]: @effect 334
07/20/2011 17:54:26 - night_darkness[0]: @effect 334
07/20/2011 17:54:36 - night_darkness[0]: @effect 334
07/20/2011 17:54:41 - night_darkness[0]: @effect 334
07/20/2011 17:54:49 - Maximus[2000000]: @kami Sig: Which map u on Ep?
07/20/2011 17:54:55 - night_darkness[0]: @effect 334
07/20/2011 17:54:57 - Epsensius[2000004]: @broadcast lavive_02
07/20/2011 17:54:58 - night_darkness[0]: @effect 334
07/20/2011 17:55:22 - night_darkness[0]: @effect 334
07/20/2011 17:55:29 - night_darkness[0]: @effect 334
07/20/2011 17:55:41 - night_darkness[0]: @effect 334
07/20/2011 17:55:42 - Jessica[2000005]: @effect 334
07/20/2011 17:55:49 - Jessica[2000005]: @warp lavive_02
07/20/2011 17:55:55 - night_darkness[0]: @effect 334
07/20/2011 17:55:58 - night_darkness[0]: @effect 334
07/20/2011 17:56:21 - Maximus[2000000]: @recall jessica
07/20/2011 17:56:22 - night_darkness[0]: @effect 334
07/20/2011 17:56:29 - night_darkness[0]: @effect 334
07/20/2011 17:56:30 - Maximus[2000000]: @killmonster2
07/20/2011 17:56:32 - Maximus[2000000]: @raise
07/20/2011 17:56:36 - night_darkness[0]: @effect 334
07/20/2011 17:56:41 - night_darkness[0]: @effect 334
07/20/2011 17:56:43 - night_darkness[0]: @effect 334
07/20/2011 17:56:56 - night_darkness[0]: @effect 334
07/20/2011 17:57:01 - Jessica[2000005]: @cleanmap
07/20/2011 17:57:09 - night_darkness[0]: @effect 334
07/20/2011 17:57:26 - night_darkness[0]: @effect 334
07/20/2011 17:57:41 - night_darkness[0]: @effect 334
07/20/2011 17:57:42 - night_darkness[0]: @effect 334
07/20/2011 17:57:55 - night_darkness[0]: @effect 334
07/20/2011 17:57:58 - night_darkness[0]: @effect 334
07/20/2011 17:58:22 - night_darkness[0]: @effect 334
07/20/2011 17:58:29 - night_darkness[0]: @effect 334
